;Name;MovieType;Director;Duration;Year;Country;Worldwide;Scenarist;Month;Season;Top_Director
2682;Triple Dog;Dram;Pascal Franchot;92;2010;Kanada;#YOK;#YOK;#YOK;#YOK;#YOK
2683;A Man Apart;Aksiyon;F. Gary Gray;109;2003;Multi Nation;$44,350,926;"Paul Scheuring
                                        ";Eylül;autumn;0
2684;Nights in Rodanthe;Dram;George C. Wolfe;97;2008;Multi Nation;$84,375,346;"Ann Peacock
                                        ";Ekim;autumn;0
2687;The Jungle Book;Aile;Jon Favreau;103;2016;Multi Nation;$43,229,904;Justin Marks;Nisan;spring;0
2688;Bird Box;Dram;Susanne Bier;124;2018;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2689;The Heat;Aksiyon;Paul Feig;117;2013;Multi Nation;$229,930,771;Katie Dippold;A?ustos;summer;0
2690;Jobs;Dram;Joshua Michael Stern;128;2013;ABD;$42,128,352;Matt Whiteley;A?ustos;summer;0
2691;Spring Breakers;Dram;Harmony Korine;94;2012;Multi Nation;$31,724,284;Harmony Korine;May?s;spring;0
2692;Les Aventures Extraordinaires D’Adele Blanc-Sec;Aksiyon;Luc Besson;105;2010;Fransa;#YOK;#YOK;#YOK;#YOK;0
2693;Bü?ra;Dram;Alper Ça?lar;105;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2695;Peri Tozu;Dram;Ela Alyamaç;85;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2697;Om Shanti Om;Dram;Farah Khan;162;2007;Hindistan;$39,990,809;#YOK;#YOK;#YOK;#YOK
2698;Korkuyorum Anne;Dram;Reha Erdem;128;2004;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2699;Eski Aç?k Sar? Desene;Belgesel;Ömer Ali Kazma;90;2003;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2700;Recep ?vedik 6;Komedi;Togan Gökbakar;110;2019;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2701;Mandariinid;Dram;Zaza Urushadze;86;2013;Gürcistan;#YOK;#YOK;#YOK;#YOK;#YOK
2702;If I Stay;Dram;R.J. Cutler;106;2014;ABD;$78,274,843;Shauna Cross;Eylül;autumn;0
2703;Alice Through the Looking Glass;Aile;James Bobin;113;2016;Multi Nation;$299,457,024;Linda Woolverton;May?s;spring;0
2704;Taken 3;Aksiyon;Olivier Megaton;109;2014;Multi Nation;$326,479,141;"Luc Besson
                                        ";Ocak;winter;0
2705;Dark Skies;Bilim Kurgu;Scott Charles Stewart;97;2013;ABD;$27,858,103;Scott Charles Stewart;May?s;spring;0
2706;The Art of Getting By;Dram;Gavin Wiesen;83;2011;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2707;Wrecked;Gerilim;Michael Greenspan;86;2010;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2708;The Children;Gerilim;Tom Shankland;84;2008;?ngiltere;#YOK;#YOK;#YOK;#YOK;#YOK
2709;Ironclad;Aksiyon;Jonathan English;121;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2710;Forever Strong;Aksiyon;Ryan Little;112;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2711;Griffin & Phoenix;Dram;Ed Stone;102;2006;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2712;The Life Before Her Eyes;Dram;Vadim Perelman;90;2007;ABD;#YOK;#YOK;#YOK;#YOK;0
2713;Chasing Liberty;Komedi;Andy Cadiff;111;2004;Multi Nation;$12,313,323;#YOK;#YOK;#YOK;#YOK
2716;Land Of The Dead;Bilim Kurgu;George A. Romero;93;2005;Multi Nation;$47,074,133;George A. Romero;A?ustos;summer;0
2717;The Imam;Dram;?smail Güne?;119;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2718;Three Billboards Outside Ebbing, Missouri;Dram;Martin McDonagh;115;2017;Multi Nation;$160,060,063;Martin McDonagh;?ubat;winter;0
2719;Çalg? Çengi 2;Komedi;Selçuk Aydemir;116;2017;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2720;Death at a Funeral;Komedi;Neil LaBute;92;2010;ABD;$46,789,413;Dean Craig;Aral?k;winter;0
2721;Echelon Conspiracy;Aksiyon;Greg Marcks;105;2009;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2722;Amelia;Dram;Mira Nair;111;2009;ABD;$19,643,086;"Ronald Bass
                                        ";Ocak;winter;0
2723;Erin Brockovich;Dram;Steven Soderbergh;131;2000;ABD;$256,271,286;Susannah Grant;Nisan;spring;0
2724;The Whole Ten Yards;Gerilim;Howard Deutch;98;2004;ABD;$26,170,671;"Mitchell Kapner
                                        ";Nisan;spring;0
2726;Annabelle;Korku;John R. Leonetti;99;2014;ABD;$257,047,661;Gary Dauberman;Ekim;autumn;0
2727;Night at the Museum: Secret of the Tomb;Aile;Shawn Levy;97;2014;Multi Nation;$363,204,635;"Robert Ben Garant
                                        ";Ocak;winter;0
2728;Che: Part Two;Dram;Steven Soderbergh;135;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2732;Banyo;Dram;Mustafa Alt?oklar;87;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2734;The Science of Sleep;Dram;Michel Gondry;105;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2735;The Walk;Dram;Robert Zemeckis;123;2015;ABD;$61,181,942;"Robert Zemeckis
                                        ";Ekim;autumn;0
2736;Don Jon;Dram;Joseph Gordon-Levitt;90;2013;ABD;$39,439,355;Joseph Gordon-Levitt;Ekim;autumn;0
2737;The Great Wall;Aksiyon;Yimou Zhang;103;2016;Multi Nation;$334,933,831;"Thomas Tull
                                        ";Aral?k;winter;0
2738;Labor Pains;Komedi;Lara Shapiro;89;2009;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2740;?ki Genç K?z;Dram;Kutlu? Ataman;107;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2741;Miss Potter;Aile;Chris Noonan;92;2006;Multi Nation;$35,078,241;Richard E. Maltby Jr.;Mart;spring;0
2742;Borat;Komedi;Larry Charles;84;2006;Multi Nation;$262,552,893;"Sacha Baron Cohen
                                        ";Aral?k;winter;0
2743;Horrible Bosses 2;Komedi;Seth Gordon;108;2014;ABD;$107,645,357;"John Francis Daley
                                        ";Aral?k;winter;0
2744;Flypaper;Gizem;Rob Minkoff;87;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2745;The Last Witch Hunter;Aksiyon;Breck Eisner;106;2015;Multi Nation;$146,936,910;"Cory Goodman
                                        ";Ekim;autumn;0
2746;The Clique;Aile;Michael Lembeck;87;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2747;Lars And The Real Girl;Dram;Craig Gillespie;106;2007;ABD;#YOK;#YOK;#YOK;#YOK;0
2748;Spanglish;Komedi;James L. Brooks;130;2004;ABD;$55,470,154;James L. Brooks;Aral?k;winter;0
2749;Döngel Kârhanesi;Komedi;Hakan Algül;;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2750;4 Luni, 3 Saptamini Si 2 Zile;Dram;Cristian Mungiu;114;2007;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2751;The Seeker: The Dark Is Rising;Aile;David L. Cunningham;94;2007;ABD;$31,852,619;#YOK;#YOK;#YOK;#YOK
2752;Panzehir;Aksiyon;Alper Ça?lar;105;2014;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2753;Yip Man 3;Aksiyon;Wilson Yip;105;2015;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2754;Self/less;Bilim Kurgu;Tarsem Singh;117;2015;ABD;$31,807,156;"David Pastor
                                        ";Temmuz;summer;0
2755;Redemption;Aksiyon;Steven Knight;100;2013;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2756;Shutter;Gerilim;"Parkpoom Wongpoom
                                        ,                                                                                                                     Banjong Pisanthanakun";97;2004;Tayland;$48,555,306;"Luke Dawson
                                        ";A?ustos;summer;#YOK
2758;Ladder 49;Aksiyon;Jay Russell;115;2004;ABD;$100,572,044;Lewis Colick;?ubat;winter;0
2759;Confessions Of A Dangerous Mind;Dram;George Clooney;113;2002;Multi Nation;$33,013,805;Charlie Kaufman;?ubat;winter;0
2761;Notes on a Scandal;Dram;Richard Eyre;92;2006;Multi Nation;$49,814,392;"Patrick Marber
                                        ";Mart;spring;0
2762;The Lobster;Dram;Yorgos Lanthimos;119;2015;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2763;Star Wars: The Last Jedi;Bilim Kurgu;Rian Johnson;145;2017;ABD;#YOK;#YOK;#YOK;#YOK;0
2764;Snitch;Aksiyon;Ric Roman Waugh;112;2013;ABD;$57,824,674;"Justin Haythe
                                        ";Haziran;summer;0
2765;Tooth Fairy;Aile;Michael Lembeck;101;2010;Multi Nation;$112,462,508;#YOK;#YOK;#YOK;#YOK
2766;How To Lose Friends & Alienate People;Dram;Robert B. Weide;110;2008;?ngiltere;$19,152,009;"Peter Straughan
                                        ";Nisan;spring;0
2767;Intolerable Cruelty;Komedi;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";100;2003;ABD;$120,801,243;"Robert Ramsey
                                        ";Aral?k;winter;#YOK
2768;The Return;Dram;Andrey Zvyagintsev;105;2003;Rusya;#YOK;#YOK;#YOK;#YOK;#YOK
2769;Get Rich or Die Tryin';Dram;Jim Sheridan;117;2005;ABD;$46,563,961;Terence Winter;Kas?m;autumn;0
2771;Frostbiten;Korku;Anders Banke;98;2006;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2772;Nerve;Gizem;"Henry Joost
                                        ,                                                                                                                     Ariel Schulman";96;2016;ABD;$85,251,425;Jessica Sharzer;A?ustos;summer;#YOK
2773;Piranha 3DD;Gerilim;John Gulager;83;2012;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2774;A Dangerous Method;Dram;David Cronenberg;99;2011;Multi Nation;$30,519,436;Christopher Hampton;Kas?m;autumn;0
2775;Monsters;Bilim Kurgu;Gareth Edwards;94;2010;?ngiltere;#YOK;#YOK;#YOK;#YOK;0
2776;The Libertine;Dram;Laurence Dunmore;114;2004;?ngiltere;#YOK;#YOK;#YOK;#YOK;#YOK
2778;Two For The Money;Dram;;122;2005;ABD;$30,526,509;#YOK;#YOK;#YOK;#YOK
2779;Gallipoli;Belgesel;Tolga Örnek;119;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2781;Venuto Al Mondo;Dram;Sergio Castellitto;127;2012;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2782;Diary of a Wimpy Kid: Rodrick Rules;Aile;David Bowers;99;2011;ABD;$72,526,996;"Jackie Filgo
                                        ";Ocak;winter;0
2783;Did You Hear About The Morgans?;Dram;Marc Lawrence (i);103;2009;ABD;$85,280,250;Marc Lawrence (i);Ocak;winter;0
2784;Lilo & Stitch;Animasyon;"Chris Sanders
                                        ,                                                                                                                     Dean DeBlois";85;2002;ABD;$273,144,151;"Chris Sanders
                                        ";Eylül;autumn;#YOK
2786;Mozart And The Whale;Dram;Petter Næss;92;2005;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2787;The Last Mimzy;Bilim Kurgu;Robert Shaye;94;2007;ABD;$27,308,918;"Bruce Joel Rubin
                                        ";Haziran;summer;0
2788;Hitman: Agent 47;Aksiyon;Aleksander Bach;96;2015;Multi Nation;$82,347,656;"Michael Finch
                                        ";A?ustos;summer;0
2789;A?k K?rm?z?;Dram;Osman S?nav;114;2013;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2790;Prom;Komedi;Joe Nussbaum;104;2011;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2791;Extremely Loud And Incredibly Close;Dram;Stephen Daldry;129;2011;ABD;#YOK;#YOK;#YOK;#YOK;0
2792;L'ennemi public n°1;Aksiyon;Jean-François Richet;133;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2793;Appaloosa;Dram;Ed Harris;115;2008;ABD;$27,712,362;"Ed Harris
                                        ";Nisan;spring;0
2794;Lilja 4-ever;Dram;Lukas Moodysson;109;2002;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2795;The Weather Man;Dram;Gore Verbinski;101;2005;Multi Nation;$19,126,398;Steve Conrad;Mart;spring;0
2797;Adaptation.;Dram;Spike Jonze;115;2002;ABD;$32,801,173;"Charlie Kaufman
                                        ";?ubat;winter;0
2798;Silk;Dram;François Girard;107;2007;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2800;Sis ve Gece;Macera;Turgut Yasalar;90;2007;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2801;Rogue One: A Star Wars Story;Bilim Kurgu;Gareth Edwards;134;2016;ABD;$1,056,057,273;"George Lucas
                                        ";Aral?k;winter;0
2802;Before Midnight;Dram;Richard Linklater;109;2013;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2803;Brick Mansions;Aksiyon;Camille Delamarre;91;2014;Multi Nation;$71,416,730;"Robert Mark Kamen
                                        ";May?s;spring;0
2804;Pak Panter;Aksiyon;Murat Aslan;;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2805;11'e 10 Kala;Dram;Pelin Esmer;110;2009;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2806;Zack And Miri Make A Porno;Komedi;Kevin Smith;102;2008;ABD;$42,782,463;Kevin Smith;Eylül;autumn;0
2807;According to Greta;Dram;Nancy Bardawil;92;2009;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2810;Charlie Wilson's War;Dram;Mike Nichols;102;2007;ABD;$119,483,446;Aaron Sorkin;?ubat;winter;0
2811;Rat Race;Komedi;Jerry Zucker;112;2001;Multi Nation;$85,498,534;Andy Breckman;Kas?m;autumn;0
2812;The Other Woman;Komedi;Nick Cassavetes;109;2014;ABD;$196,710,396;Melissa Stack;May?s;spring;0
2813;Insidious: Chapter 3;Gerilim;Leigh Whannell;97;2015;Multi Nation;$112,983,889;Leigh Whannell;Haziran;summer;0
2814;Blade Runner 2049;Bilim Kurgu;Denis Villeneuve;164;2017;Multi Nation;$259,154,159;"Hampton Fancher
                                        ";Ekim;autumn;0
2815;Loft;Gerilim;Antoinette Beumer;110;2010;Hollanda;#YOK;#YOK;#YOK;#YOK;#YOK
2816;Death Race: Inferno;Bilim Kurgu;Roel Reiné;104;2013;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2817;The Boat That Rocked;Dram;Richard Curtis;135;2009;?ngiltere;$36,348,784;#YOK;#YOK;#YOK;0
2818;Cadet Kelly;Aile;"Larry Shaw
                                        ,                                                                                                                     Kevin Lafferty";101;2002;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2819;Cherrybomb;Dram;"Lisa Barros D'sa
                                        ,                                                                                                                     Glenn Leyburn";86;2009;?ngiltere;#YOK;#YOK;#YOK;#YOK;#YOK
2820;Racing Stripes;Aile;Frederik Du Chau;102;2005;ABD;$90,754,475;#YOK;#YOK;#YOK;0
2821;xXx: State Of The Union;Aksiyon;Lee Tamahori;101;2005;ABD;$71,410,636;"Simon Kinberg
                                        ";Haziran;summer;0
2825;U-571;Aksiyon;Jonathan Mostow;116;2000;Multi Nation;$127,666,415;"David Ayer
                                        ";Nisan;spring;0
2826;Dogtooth;Dram;Yorgos Lanthimos;98;2009;Yunanistan;#YOK;#YOK;#YOK;#YOK;#YOK
2827;Hall Pass;Komedi;"Bobby Farrelly
                                        ,                                                                                                                     Peter Farrelly";105;2011;ABD;$86,157,237;#YOK;#YOK;#YOK;#YOK
2828;Twelve;Aksiyon;Joel Schumacher;93;2010;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2829;Astro Boy;Animasyon;David Bowers;93;2009;Multi Nation;$39,886,986;Timothy Harris;Nisan;spring;0
2831;Raising Helen;Dram;Garry Marshall;119;2004;ABD;$49,718,611;#YOK;#YOK;#YOK;0
2834;Scoop;Gizem;Woody Allen;96;2006;Multi Nation;$39,220,946;Woody Allen;Eylül;autumn;0
2837;Be? Vakit;Dram;Reha Erdem;111;2006;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2838;Side Effects;Dram;Steven Soderbergh;106;2013;ABD;$63,414,135;Scott Z. Burns;Nisan;spring;0
2839;Dumb and Dumber To;Komedi;"Bobby Farrelly
                                        ,                                                                                                                     Peter Farrelly";110;2014;ABD;$169,837,010;"Bennett Yellin
                                        ";Kas?m;autumn;#YOK
2840;A Warrior's Heart;Aile;Michael F. Sears;86;2011;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2841;Morning Glory;Dram;Roger Michell;107;2010;ABD;$60,040,976;#YOK;#YOK;#YOK;0
2842;Don't Be Afraid Of The Dark;Fantastik;Troy Nixey;99;2010;Multi Nation;$38,269,529;"Guillermo del Toro
                                        ";Ocak;winter;0
2843;Uzak ?htimal;Dram;Mahmut Faz?l Co?kun;90;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2844;Vicdan;Dram;Erden K?ral;81;2008;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2845;Anacondas: The Hunt for the Blood Orchid;Aksiyon;Dwight H. Little;94;2004;ABD;$70,992,898;"Jim Cash
                                        ";Eylül;autumn;0
2846;Cassandra's Dream;Dram;Woody Allen;108;2007;Multi Nation;$22,686,378;Woody Allen;Aral?k;winter;0
2848;Hadi ?n?allah;Komedi;Ali Taner Baltac?;91;2014;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2849;Unbroken;Dram;Angelina Jolie;137;2014;ABD;$161,459,297;"Ethan Coen
                                        ";?ubat;winter;0
2850;Zeitgeist: The Movie;Belgesel;Peter Joseph;118;2007;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2851;The Stepfather;Gerilim;Nelson Mccormick;101;2009;ABD;$31,198,531;#YOK;#YOK;#YOK;#YOK
2852;Catch That Kid;Aile;Bart Freundlich;92;2004;Multi Nation;$16,951,702;#YOK;#YOK;#YOK;0
2853;Bad Lieutenant: Port Of Call New Orleans;Dram;Werner Herzog;122;2009;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2855;Analyze That;Komedi;Harold Ramis;96;2002;ABD;$55,003,135;"Kenneth Lonergan
                                        ";Ocak;winter;0
2857;Ek Villain;Aksiyon;Mohit Suri;129;2014;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
2858;Yeralt?;Dram;Zeki Demirkubuz;107;2012;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2859;Little Ashes;Dram;Paul Morrison;112;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2861;Stormbreaker;Aile;Geoffrey Sax;93;2006;Multi Nation;$23,937,870;Anthony Horowitz;Haziran;summer;0
2862;Deuce Bigalow: European Gigolo;Komedi;Mike Bigelow;83;2005;ABD;$45,109,561;"Rob Schneider
                                        ";Ekim;autumn;0
2863;15 Minutes;Aksiyon;John Herzfeld;120;2001;Multi Nation;$56,359,980;John Herzfeld;May?s;spring;0
2864;School For Scoundrels;Dram;Todd Phillips;100;2006;ABD;$23,947,685;"Todd Phillips
                                        ";Ocak;winter;0
2865;Ahlat A?ac?;Dram;Nuri Bilge Ceylan;188;2018;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2866;Fantastic Beasts: The Crimes of Grindelwald;Aile;David Yates;134;2018;Multi Nation;$655,755,901;J.K. Rowling;Kas?m;autumn;0
2867;Çakallarla Dans 3: S?f?r S?k?nt?;Komedi;Murat ?eker;94;2014;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2868;Be? ?ehir;Dram;Onur Ünlü;95;2009;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2869;Big Eyes;Dram;Tim Burton;106;2014;Multi Nation;$29,253,166;"Scott Alexander
                                        ";Mart;spring;0
2870;Hayat Var;Dram;Reha Erdem;117;2008;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2871;Billy Elliot;Dram;Stephen Daldry;110;2000;Multi Nation;$109,280,263;Lee Hall;Mart;spring;0
2874;Chakushin ari 2 / One Missed Call 2;Gizem;Renpei Tsukamoto;105;2005;Japonya;#YOK;#YOK;#YOK;#YOK;#YOK
2875;In The Valley Of Elah;Dram;Paul Haggis;124;2007;ABD;$29,541,790;"Paul Haggis
                                        ";Mart;spring;0
2876;Halloween: Resurrection;Gerilim;Rick Rosenthal;94;2002;ABD;$37,664,855;"John Carpenter
                                        ";Ekim;autumn;0
2877;Factory Girl;Dram;George Hickenlooper;90;2006;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2879;Fragile: A Ghost Story;Gerilim;Jaume Balagueró;101;2005;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2880;The Hitman's Bodyguard;Aksiyon;Patrick Hughes;118;2017;Multi Nation;$183,415,183;Tom O'Connor (i);A?ustos;summer;0
2881;To Rome with Love;Komedi;Woody Allen;111;2012;Multi Nation;$73,244,881;Woody Allen;Eylül;autumn;0
2882;The Joneses;Dram;Derrick Borte;96;2009;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2883;Fireflies in The Garden;Dram;Dennis Lee;108;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2884;Before The Devil Knows You're Dead;Dram;Sidney Lumet;117;2007;ABD;$25,037,657;Kelly Masterson;?ubat;winter;0
2889;The Flowers of War;Dram;Yimou Zhang;146;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;0
2890;The Possession;Gerilim;Ole Bornedal;92;2012;Multi Nation;$85,446,075;"Juliet Snowden
                                        ";A?ustos;summer;0
2893;Dracula 2000;Aksiyon;Patrick Lussier;99;2000;ABD;$47,053,625;"Patrick Lussier
                                        ";?ubat;winter;0
2895;Mirage;Dram;Oriol Paulo;129;2018;?spanya;#YOK;#YOK;#YOK;#YOK;#YOK
2896;Do-ga-ni;Dram;Hwang Dong-Hyuk;125;2011;Güney Kore;#YOK;#YOK;#YOK;#YOK;#YOK
2897;Le Petit Nicolas;Komedi;Laurent Tirard;91;2009;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2900;The Shallows;Dram;Jaume Collet-Serra;86;2016;Multi Nation;$119,100,758;Anthony Jaswinski;A?ustos;summer;0
2901;The Boss Baby;Animasyon;Tom McGrath;97;2017;ABD;$527,965,936;Michael McCullers;Mart;spring;0
2902;Alien: Covenant;Bilim Kurgu;Ridley Scott;122;2017;Multi Nation;$240,891,763;"Michael Green
                                        ";May?s;spring;1
2903;Machete Kills;Aksiyon;Robert Rodriguez;107;2013;ABD;#YOK;#YOK;#YOK;#YOK;0
2904;Jab We Met;Dram;Imtiaz Ali;138;2007;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
2905;Kites;Aksiyon;Anurag Basu;123;2010;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
2906;The Cheetah Girls: One World;Aile;Paul Hoen;90;2008;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2907;13 Game Sayawng;Gerilim;Chukiat Sakveerakul;114;2006;Tayland;#YOK;#YOK;#YOK;#YOK;#YOK
2909;The Dukes Of Hazzard;Aksiyon;Jay Chandrasekhar;104;2005;ABD;$111,069,515;#YOK;#YOK;#YOK;#YOK
2912;O ?imdi Mahkum;Komedi;Abdullah O?uz;145;2005;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2913;S?f?r Dedi?imde;Dram;Gökhan Yorganc?gil;;2007;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2914;Ford v. Ferrari;Aksiyon;James Mangold;152;2019;ABD;#YOK;#YOK;#YOK;#YOK;0
2915;Fifty Shades Darker;Dram;James Foley;118;2017;ABD;$381,545,846;Niall Leonard;?ubat;winter;0
2916;Geek Charming;Aile;Jeffrey Hornaday;99;2011;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2917;Hop Dedik;Aksiyon;O?uz Yalç?n;;2011;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2918;Devrimden Sonra;Belgesel;Mustafa Kenan;96;2011;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2919;Chatroom;Dram;Hideo Nakata;97;2010;?ngiltere;#YOK;#YOK;#YOK;#YOK;0
2921;View From The Top;Dram;Bruno Barreto;87;2003;ABD;$19,526,014;Eric Wald;Kas?m;autumn;0
2923;Sekai no chûshin de, ai o sakebu;Dram;Isao Yukisada;138;2004;Japonya;#YOK;#YOK;#YOK;#YOK;#YOK
2924;Unknown;Gerilim;Simon Brand;98;2006;ABD;$135,710,029;"Oliver Butcher
                                        ";Nisan;spring;0
2926;Ek?i Elmalar;Dram;Y?lmaz Erdo?an;114;2016;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2927;Gods of Egypt;Aksiyon;Alex Proyas;127;2016;Multi Nation;$150,680,864;"Matt Sazama
                                        ";?ubat;winter;0
2928;Transamerica;Dram;Duncan Tucker;103;2005;ABD;$15,151,744;Duncan Tucker;Haziran;summer;0
2929;Cars 3;Animasyon;Brian Fee (i);102;2017;ABD;$383,930,656;"John Lasseter
                                        ";Haziran;summer;0
2930;Kahaani;Gerilim;Sujoy Ghosh;122;2012;Hindistan;#YOK;#YOK;#YOK;#YOK;#YOK
2931;Solace;Gerilim;Afonso Poyart;101;2015;ABD;#YOK;#YOK;#YOK;#YOK;#YOK
2932;The Awakening;Gerilim;Nick Murphy;107;2011;?ngiltere;#YOK;#YOK;#YOK;#YOK;#YOK
2933;Memlekette Demokrasi Var;Komedi;Süleyman Nebio?lu;95;2010;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2934;Johnny English Reborn;Aksiyon;Oliver Parker;101;2011;?ngiltere;$160,078,586;"Neal Purvis
                                        ";Ekim;autumn;0
2935;Boku No Hatsukoi Wo Kimi Ni Sasagu;Dram;Takehiko Shinjo;122;2009;Japonya;#YOK;#YOK;#YOK;#YOK;#YOK
2936;Los lunes al sol;Dram;Fernando León de Aranoa;113;2002;?spanya;#YOK;#YOK;#YOK;#YOK;#YOK
2938;Ali Baba ve 7 Cüceler;Aksiyon;Cem Y?lmaz;114;2015;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2939;Ant-Man and The Wasp;Bilim Kurgu;Peyton Reed;119;2018;ABD;$622,674,139;"Chris McKenna (i)
                                        ";Temmuz;summer;0
2940;Dracula Untold;Aksiyon;Gary Shore;92;2014;ABD;$217,124,280;"Matt Sazama
                                        ";Ekim;autumn;0
2941;Bu Son Olsun;Dram;Orçun Benli;100;2012;Türkiye;#YOK;#YOK;#YOK;#YOK;#YOK
2942;Take Me Home Tonight;Dram;Michael Dowse;97;2011;Multi Nation;#YOK;#YOK;#YOK;#YOK;#YOK
2943;What's Your Number?;Komedi;Mark Mylod;106;2011;ABD;$30,426,096;#YOK;#YOK;#YOK;0
2945;Head Over Heels;Komedi;Mark Waters;86;2001;ABD;$13,127,022;"Ed Decter
                                        ";Kas?m;autumn;0
2946;Sorority Boys;Komedi;Wallace Wolodarsky;93;2002;ABD;$12,517,488;"Greg Coolidge
                                        ";Temmuz;summer;0
2948;Seabiscuit;Dram;Gary Ross;141;2003;ABD;$148,336,445;Gary Ross;?ubat;winter;0
2949;Flags of Our Fathers;Dram;Clint Eastwood;135;2006;ABD;$65,900,249;"Paul Haggis
                                        ";Aral?k;winter;1
2950;The Queen;Dram;Stephen Frears;103;2006;Multi Nation;$123,384,128;Peter Morgan;?ubat;winter;0
2951;Teenage Mutant Ninja Turtles: Out of the Shadows;Bilim Kurgu;Dave Green;112;2016;ABD;$245,623,848;"Josh Appelbaum
                                        ";Haziran;summer;0
